Naam;Afkorting;Adviescollege Scope;Actief vanaf;Kaderwet van toepassing;Classificaties;Register van overheidsorganisaties URL;Adviescollege URL;TOOI-URI
Commissie van toezicht op de inlichtingen- en veiligheidsdiensten;;Permanent;1-9-2017;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360975/Commissie_van_toezicht_op_de_inlichtingen-_en_veiligheidsdiensten;https://www.ctivd.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10163
Adviescommissie seed capital technostarters;;Permanent;19-12-2014;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360840/Adviescommissie_seed_capital_technostarters;https://www.rvo.nl/subsidies-financiering/seed-capital;https://identifier.overheid.nl/tooi/id/oorg/oorg10150
Commissie sectorplan Social Sciences and Humanities;Commissie sectorplan SSH;Tijdelijk;23-2-2019;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28390752/Commissie_sectorplan_Social_Sciences_and_Humanities;https://www.sectorplan-ssh.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10171
Adviescommissie vroegefasefinanciering MKB-ondernemers en innovatieve starters;;Permanent;19-12-2014;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360884/Adviescommissie_vroegefasefinanciering_MKB-ondernemers_en_innovatieve_starters;https://www.rvo.nl/subsidies-financiering/vff;https://identifier.overheid.nl/tooi/id/oorg/oorg10154
Commissie van onderzoek naar de Nederlandse wapeninzet in Hawija;;Eenmalig;27-11-2020;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28390823/Commissie_van_onderzoek_naar_de_Nederlandse_wapeninzet_in_Hawija;;https://identifier.overheid.nl/tooi/id/oorg/oorg10179
Monitoring Commissie Corporate Governance Code;;Permanent;11-12-2013;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391731/Monitoring_Commissie_Corporate_Governance_Code;https://www.mccg.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10206
Onderwijsraad;;Permanent;21-2-1919;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/7799/Onderwijsraad;https://www.onderwijsraad.nl;https://identifier.overheid.nl/tooi/id/oorg/oorg10212
Kwaliteitscommissie Bibob;;Permanent;1-1-2014;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28355911/Kwaliteitscommissie_Bibob;https://justis.nl/producten/wet-bibob/landelijk-bureau-bibob/kwaliteitscommissie;https://identifier.overheid.nl/tooi/id/oorg/oorg10132
Adviescommissie Cyberweerbaarheid;;Permanent;1-4-2018;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391491/Adviescommissie_Cyberweerbaarheid;https://www.rvo.nl/subsidies-financiering/cyberweerbaarheid;https://identifier.overheid.nl/tooi/id/oorg/oorg10182
Raad voor dierenaangelegenheden;RDA;Permanent;1-1-2013;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391551/Raad_voor_dierenaangelegenheden;https://www.rda.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10188
Adviescommissie Nationaal Groeifonds;;Tijdelijk;15-9-2020;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391471/Adviescommissie_Nationaal_Groeifonds;https://www.nationaalgroeifonds.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10180
