Naam;Afkorting;Adviescollege Scope;Actief vanaf;Kaderwet van toepassing;Classificaties;Register van overheidsorganisaties URL;Adviescollege URL;TOOI-URI
College Deskundigheid Financiële Dienstverlening;CDFD;Permanent;1-7-2014;Nee;woo;https://organisaties.overheid.nl/29515187/College_Deskundigheid_Financiele_Dienstverlening;https://cdfd.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg12363
Commissie sectorplan Bèta en Techniek;;Tijdelijk;23-2-2019;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28390742/Commissie_sectorplan_Beta_en_Techniek;https://www.sectorplan-betatechniek.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10170
Commissie Gewetensbezwaren Immunisatie Militairen;GIM;Permanent;18-11-1953;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28390813/Commissie_Gewetensbezwaren_Immunisatie_Militairen;;https://identifier.overheid.nl/tooi/id/oorg/oorg10178
Beoordelingscommissie Small Business Innovation Research programma;;Permanent;12-8-2010;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360945/Beoordelingscommissie_Small_Business_Innovation_Research_programma;https://www.pianoo.nl/nl/themas/innovatie/aan-de-slag/sbir-innovatie-opdracht;https://identifier.overheid.nl/tooi/id/oorg/oorg10160
Auditteam Voetbal en Veiligheid;;Permanent;27-6-2012;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391521/Auditteam_Voetbal_en_Veiligheid;https://www.rijksoverheid.nl/onderwerpen/voetbalvandalisme/auditteam-voetbal-en-veiligheid;https://identifier.overheid.nl/tooi/id/oorg/oorg10185
Raad voor strafrechtstoepassing en jeugdbescherming;RSJ;Permanent;1-7-2015;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28355951/Raad_voor_strafrechtstoepassing_en_jeugdbescherming;https://www.rsj.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10136
Raad van Advies herbezinning NVWA;;Tijdelijk;15-10-2019;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391691/Raad_van_Advies_herbezinning_NVWA;https://www.nvwa.nl/over-de-nvwa/hoe-de-nvwa-werkt/risicobeoordeling-en-onderzoeksprogrammering/raad-van-advies;https://identifier.overheid.nl/tooi/id/oorg/oorg10202
Wetenschappelijke Adviescommissie ‘Eén tegen eenzaamheid’;;Eenmalig;1-1-2024;Nee;;https://organisaties.overheid.nl/30259076/Wetenschappelijke_Adviescommissie_Een_tegen_eenzaamheid;;https://identifier.overheid.nl/tooi/id/oorg/oorg12379
Raad van State;RvS;Permanent;;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/18595/Raad_van_State;https://www.raadvanstate.nl;https://identifier.overheid.nl/tooi/id/oorg/oorg10008
Begeleidingscommissie voor het Sociaal en Cultureel Planbureau;;Permanent;3-1-2013;Nee;;https://organisaties.overheid.nl/30272345/Begeleidingscommissie_voor_het_Sociaal_en_Cultureel_Planbureau;;https://identifier.overheid.nl/tooi/id/oorg/oorg12382
Adviescommissie Kredietcommissie;;Permanent;19-12-2014;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360874/Adviescommissie_Kredietcommissie;;https://identifier.overheid.nl/tooi/id/oorg/oorg10153
Commissie rol Koninklijk Huis in de zaak J.A. Poch;;Eenmalig;17-11-2021;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28532140/Commissie_rol_Koninklijk_Huis_in_de_zaak_JA_Poch;;https://identifier.overheid.nl/tooi/id/oorg/oorg10237
Commissie risicobeoordeling nieuwe drugs;;Permanent;1-1-2003;Nee;;https://organisaties.overheid.nl/30259084/Commissie_risicobeoordeling_nieuwe_drugs;;https://identifier.overheid.nl/tooi/id/oorg/oorg12380
Adviescollege ICT-toetsing;AcICT;Tijdelijk;31-12-2020;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360995/Adviescollege_ICT-toetsing;https://www.adviescollegeicttoetsing.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10165
Adviescollege Veiligheid Groningen;ACVG;Permanent;15-9-2019;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391481/Adviescollege_Veiligheid_Groningen;https://adviescollegeveiligheidgroningen.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10181
Cyber Security Raad;;Permanent;4-9-2012;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28355891/Cyber_Security_Raad;https://www.cybersecurityraad.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10130
Adviescommissie Duurzaamheid Biomassa voor Energietoepassingen;ADBE;Permanent;1-7-2017;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391511/Adviescommissie_Duurzaamheid_Biomassa_voor_Energietoepassingen;https://www.adviescommissiedbe.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10184
Kwaliteitsinstituut beëdigde tolken en vertalers;;Permanent;1-1-2014;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28355921/Kwaliteitsinstituut_beedigde_tolken_en_vertalers;https://www.bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv/;https://identifier.overheid.nl/tooi/id/oorg/oorg10133
Commissie Expertisecentra langdurige zorg;CElz;Tijdelijk;1-10-2019;Nee;;https://organisaties.overheid.nl/30259063/Commissie_Expertisecentra_langdurige_zorg;https://www.commissiecelz.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg12378
Welzijnscommissie Dierziekten;;Permanent;22-12-2017;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391561/Welzijnscommissie_Dierziekten;;https://identifier.overheid.nl/tooi/id/oorg/oorg10189
Staatscommissie voor het internationaal privaatrecht;;Permanent;20-02-1897;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28212189/Staatscommissie_voor_het_internationaal_privaatrecht;;https://identifier.overheid.nl/tooi/id/oorg/oorg10263
Centrale Adviescommissie Draaginsigne Gewonden;;Permanent;28-2-2007;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28390793/Centrale_Adviescommissie_Draaginsigne_Gewonden;;https://identifier.overheid.nl/tooi/id/oorg/oorg10176
Adviescommissie Stimuleringsregeling Technologie in Ondersteuning en Zorg;Adviescommissie STOZ;Eenmalig;1-7-2024;Nee;;https://organisaties.overheid.nl/30259055/Adviescommissie_Stimuleringsregeling_Technologie_in_Ondersteuning_en_Zorg;;https://identifier.overheid.nl/tooi/id/oorg/oorg12377
Comité van toezicht EFMB;;Permanent;5-11-2014;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391761/Comite_van_toezicht_EFMB;;https://identifier.overheid.nl/tooi/id/oorg/oorg10209
Expertisenetwerk Waterveiligheid;ENW;Permanent;23-10-2014;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391651/Expertisenetwerk_Waterveiligheid;https://www.enwinfo.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10198
Nederlandse Sportraad;NLsportraad;Permanent;1-1-2023;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/20567377/Nederlandse_Sportraad;https://www.nederlandse-sportraad.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10259
Wetenschappelijke Klimaatraad;WKR;Tijdelijk;5-11-2022;Ja;woo;https://organisaties.overheid.nl/29420981/Wetenschappelijke_Klimaatraad;https://www.wkr.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg12367
Adviescommissie vroegefasefinanciering academische innovatieve starters, hbo-innovatieve starters en TO2-innovatieve starters;;Permanent;19-12-2014;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360894/Adviescommissie_vroegefasefinanciering_academische_innovatieve_starters_hbo-innovatieve_starters_en_TO2-innovatieve_starters;https://www.rvo.nl/subsidies-financiering/vff;https://identifier.overheid.nl/tooi/id/oorg/oorg10155
Adviesraad voor wetenschap, technologie en innovatie;AWTI;Permanent;1-8-2014;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/128594/Adviesraad_voor_wetenschap_technologie_en_innovatie;https://www.awti.nl;https://identifier.overheid.nl/tooi/id/oorg/oorg10253
